alldrugs,alldrugs|drugs whose AlogP < 4,alldrugs|drugs whose pChEMBL max > 6,alldrugs|drugs whose AlogP < 4|drugs whose pChEMBL max > 6
CHEMBL1712882,CHEMBL1737005,CHEMBL1705022,CHEMBL1406130
CHEMBL1790038,CHEMBL1790032,CHEMBL1734915,CHEMBL1731467
CHEMBL1720377,CHEMBL1700715,CHEMBL1704299,CHEMBL1570441
CHEMBL1732571,CHEMBL1411202,CHEMBL1726776,CHEMBL1606007
CHEMBL1725977,CHEMBL1520143,CHEMBL1722737,CHEMBL1703200
CHEMBL1708860,CHEMBL1600114,CHEMBL1727796,CHEMBL1709105
CHEMBL1702821,CHEMBL1423690,CHEMBL1733472,CHEMBL1713178
CHEMBL1790035,CHEMBL1336959,CHEMBL1717022,CHEMBL1724427
CHEMBL1731796,CHEMBL1314602,CHEMBL1712661,CHEMBL1333250
CHEMBL1708710,CHEMBL1725120,CHEMBL51085,CHEMBL1369613
CHEMBL1711440,CHEMBL1708335,,CHEMBL1714665
CHEMBL1712029,CHEMBL1601716,,CHEMBL45152
,CHEMBL1354431,,CHEMBL1728593
,CHEMBL1720245,,CHEMBL1392315
,CHEMBL1449845,,CHEMBL480
,CHEMBL3322971,,CHEMBL1732623
,CHEMBL1338317,,CHEMBL1725457
,CHEMBL1708115,,CHEMBL1339149
,CHEMBL1698123,,
,CHEMBL1714438,,
,CHEMBL1720939,,
,CHEMBL1530439,,
,CHEMBL1712495,,
,CHEMBL1609086,,
,CHEMBL1701021,,
,CHEMBL567850,,
,CHEMBL1702227,,
,CHEMBL1701478,,
,CHEMBL1553163,,
,CHEMBL1709252,,
,CHEMBL1371792,,
,CHEMBL1706034,,
